\e[0;30m      Black
\e[0;31m      Red
\e[0;32m      Green
\e[0;33m      Yellow
\e[0;34m      Blue
\e[0;35m      Purple
\e[0;36m      Cyan
\e[0;37m      White
\e[1;30m      Bold Black
\e[1;31m      Bold Red
\e[1;32m      Bold Green
\e[1;33m      Bold Yellow
\e[1;34m      Bold Blue
\e[1;35m      Bold Purple
\e[1;36m      Bold Cyan
\e[1;37m      Bold White
\e[4;30m      Underline Black
\e[4;31m      Underline Red
\e[4;32m      Underline Green
\e[4;33m      Underline Yellow
\e[4;34m      Underline Blue
\e[4;35m      Underline Purple
\e[4;36m      Underline Cyan
\e[4;37m      Underline White
\e[40m        Background Black
\e[41m        Background Red
\e[42m        Background Green
\e[43m        Background Yellow
\e[44m        Background Blue
\e[45m        Background Purple
\e[46m        Background Cyan
\e[47m        Background White
\e[0;90m      High Intensity Black
\e[0;91m      High Intensity Red
\e[0;92m      High Intensity Green
\e[0;93m      High Intensity Yellow
\e[0;94m      High Intensity Blue
\e[0;95m      High Intensity Purple
\e[0;96m      High Intensity Cyan
\e[0;97m      High Intensity White
\e[1;90m      Bold High Intensity Black
\e[1;91m      Bold High Intensity Red
\e[1;92m      Bold High Intensity Green
\e[1;93m      Bold High Intensity Yellow
\e[1;94m      Bold High Intensity Blue
\e[1;95m      Bold High Intensity Purple
\e[1;96m      Bold High Intensity Cyan
\e[1;97m      Bold High Intensity White
\e[0;100m     High Intensity Background Black
\e[0;101m     High Intensity Background Red
\e[0;102m     High Intensity Background Green
\e[0;103m     High Intensity Background Yellow
\e[0;104m     High Intensity Background Blue
\e[0;105m     High Intensity Background Purple
\e[0;106m     High Intensity Background Cyan
\e[0;107m     High Intensity Background White
\e[0m         Reset
